Title: Medicaid Spending per Enrollee (Full or Partial Benefit) | KFF,,,,,,,,,
Timeframe: 2019,,,,,,,Monthly,Monthly,Monthly
Location,All Full or Partial Benefit Enrollees,Seniors,Individuals with Disabilities,Adults,Children,Newly Eligible Adult,Disabled,Adults,Children
United States,"$6,556 ","$14,343 ","$19,588 ","$3,840 ","$2,837 ","$5,225 ","$1,632.33 ",$320.00 ,$236.42 
Alabama,"$4,777 ","$10,945 ","$12,231 ","$1,303 ","$1,779 ",N/A,"$1,019.25 ",$108.58 ,$148.25 
Alaska,"$8,640 ","$18,271 ","$30,762 ","$5,948 ","$5,265 ","$8,032 ","$2,563.50 ",$495.67 ,$438.75 
Arizona,"$5,616 ","$7,275 ","$20,898 ","$3,831 ","$2,610 ","$6,012 ","$1,741.50 ",$319.25 ,$217.50 
Arkansas,"$6,480 ","$17,110 ","$18,532 ","$6,196 ","$4,104 ","$1,323 ","$1,544.33 ",$516.33 ,$342.00 
California,"$5,581 ","$12,698 ","$25,721 ","$2,405 ","$2,437 ","$4,555 ","$2,143.42 ",$200.42 ,$203.08 
Colorado,"$6,414 ","$17,672 ","$26,938 ","$4,482 ","$2,587 ","$4,580 ","$2,244.83 ",$373.50 ,$215.58 
Connecticut,"$8,063 ","$14,173 ","$28,550 ","$5,485 ","$3,541 ","$7,114 ","$2,379.17 ",$457.08 ,$295.08 
Delaware,"$7,701 ","$16,965 ","$22,240 ","$6,467 ","$3,778 ","$6,377 ","$1,853.33 ",$538.92 ,$314.83 
District of Columbia,"$10,166 ","$19,532 ","$31,189 ","$6,089 ","$4,011 ","$6,147 ","$2,599.08 ",$507.42 ,$334.25 
Florida,"$4,718 ","$8,340 ","$12,170 ","$2,674 ","$2,445 ","$2,768 ","$1,014.17 ",$222.83 ,$203.75 
Georgia,"$4,396 ","$7,724 ","$11,049 ","$3,397 ","$2,223 ",N/A,$920.75 ,$283.08 ,$185.25 
Hawaii,"$5,483 ","$11,713 ","$20,603 ","$3,917 ","$2,656 ","$4,488 ","$1,716.92 ",$326.42 ,$221.33 
Idaho,"$6,823 ","$11,239 ","$20,799 ","$5,299 ","$2,590 ",N/A,"$1,733.25 ",$441.58 ,$215.83 
Illinois,"$5,491 ","$13,191 ","$12,618 ","$2,989 ","$2,265 ","$6,113 ","$1,051.50 ",$249.08 ,$188.75 
Indiana,"$7,000 ","$11,542 ","$14,791 ","$6,548 ","$3,039 ","$8,235 ","$1,232.58 ",$545.67 ,$253.25 
Iowa,"$6,658 ","$16,646 ","$20,920 ","$5,626 ","$2,486 ","$5,014 ","$1,743.33 ",$468.83 ,$207.17 
Kansas,"$7,626 ","$17,256 ","$13,310 ","$12,387 ","$3,100 ",N/A,"$1,109.17 ","$1,032.25 ",$258.33 
Kentucky,"$6,191 ","$7,526 ","$13,229 ","$6,081 ","$3,288 ","$5,836 ","$1,102.42 ",$506.75 ,$274.00 
Louisiana,"$5,632 ","$8,110 ","$12,783 ","$5,076 ","$2,897 ","$5,282 ","$1,065.25 ",$423.00 ,$241.42 
Maine,"$8,466 ","$10,795 ","$21,054 ","$3,671 ","$3,797 ","$4,739 ","$1,754.50 ",$305.92 ,$316.42 
Maryland,"$7,700 ","$14,715 ","$22,811 ","$6,389 ","$3,130 ","$7,326 ","$1,900.92 ",$532.42 ,$260.83 
Massachusetts,"$8,756 ","$20,459 ","$19,715 ","$3,406 ","$3,060 ","$5,554 ","$1,642.92 ",$283.83 ,$255.00 
Michigan,"$6,268 ","$16,789 ","$16,733 ","$4,735 ","$2,752 ","$4,420 ","$1,394.42 ",$394.58 ,$229.33 
Minnesota,"$9,669 ","$27,980 ","$40,430 ","$5,115 ","$3,270 ","$7,654 ","$3,369.17 ",$426.25 ,$272.50 
Mississippi,"$6,539 ","$10,800 ","$13,146 ","$4,020 ","$3,339 ",N/A,"$1,095.50 ",$335.00 ,$278.25 
Missouri,"$8,479 ","$16,403 ","$22,680 ","$4,715 ","$3,874 ",N/A,"$1,890.00 ",$392.92 ,$322.83 
Montana,"$6,632 ","$14,779 ","$17,310 ","$5,323 ","$3,928 ","$5,968 ","$1,442.50 ",$443.58 ,$327.33 
Nebraska,"$7,172 ","$19,090 ","$16,111 ","$6,043 ","$3,422 ",$0 ,"$1,342.58 ",$503.58 ,$285.17 
Nevada,"$4,610 ","$5,827 ","$15,315 ","$4,097 ","$2,108 ","$4,912 ","$1,276.25 ",$341.42 ,$175.67 
New Hampshire,"$7,309 ","$20,004 ","$16,036 ","$12,419 ","$3,525 ","$4,696 ","$1,336.33 ","$1,034.92 ",$293.75 
New Jersey,"$7,581 ","$19,371 ","$27,591 ","$6,439 ","$2,621 ","$4,997 ","$2,299.25 ",$536.58 ,$218.42 
New Mexico,"$5,458 ","$8,126 ","$19,975 ","$3,421 ","$3,249 ","$4,960 ","$1,664.58 ",$285.08 ,$270.75 
New York,"$8,148 ","$20,947 ","$26,938 ","$4,682 ","$2,418 ","$4,930 ","$2,244.83 ",$390.17 ,$201.50 
North Carolina,"$5,778 ","$11,837 ","$17,646 ","$2,238 ","$2,820 ",N/A,"$1,470.50 ",$186.50 ,$235.00 
North Dakota,"$10,034 ","$37,892 ","$38,775 ","$5,371 ","$4,430 ",$550 ,"$3,231.25 ",$447.58 ,$369.17 
Ohio,"$6,910 ","$16,550 ","$16,790 ","$4,869 ","$2,923 ","$5,691 ","$1,399.17 ",$405.75 ,$243.58 
Oklahoma,"$5,854 ","$12,412 ","$15,969 ","$3,456 ","$3,437 ",N/A,"$1,330.75 ",$288.00 ,$286.42 
Oregon,"$7,719 ","$14,755 ","$14,602 ","$9,691 ","$4,143 ","$7,467 ","$1,216.83 ",$807.58 ,$345.25 
Pennsylvania,"$9,372 ","$27,808 ","$22,219 ","$4,951 ","$2,748 ","$3,964 ","$1,851.58 ",$412.58 ,$229.00 
Rhode Island,"$6,462 ","$14,517 ","$18,077 ","$3,548 ","$2,773 ","$4,893 ","$1,506.42 ",$295.67 ,$231.08 
South Carolina,"$4,125 ","$8,493 ","$12,597 ","$2,270 ","$2,272 ",N/A,"$1,049.75 ",$189.17 ,$189.33 
South Dakota,"$6,704 ","$13,889 ","$19,084 ","$4,685 ","$2,724 ",N/A,"$1,590.33 ",$390.42 ,$227.00 
Tennessee,"$6,157 ","$10,754 ","$13,217 ","$5,370 ","$3,497 ",N/A,"$1,101.42 ",$447.50 ,$291.42 
Texas,"$7,101 ","$13,596 ","$22,614 ","$4,914 ","$3,236 ",NSD,"$1,884.50 ",$409.50 ,$269.67 
Utah,"$6,835 ","$14,159 ","$24,728 ","$5,794 ","$2,856 ","$4,700 ","$2,060.67 ",$482.83 ,$238.00 
Vermont,"$9,125 ","$15,076 ","$12,107 ","$5,465 ","$6,079 ",N/A,"$1,008.92 ",$455.42 ,$506.58 
Virginia,"$6,659 ","$17,967 ","$25,676 ","$2,035 ","$3,310 ",N/A,"$2,139.67 ",$169.58 ,$275.83 
Washington,"$6,917 ","$16,485 ","$22,417 ","$6,162 ","$2,813 ","$6,035 ","$1,868.08 ",$513.50 ,$234.42 
West Virginia,"$6,703 ","$18,905 ","$14,047 ","$4,613 ","$2,922 ","$4,697 ","$1,170.58 ",$384.42 ,$243.50 
Wisconsin,"$7,362 ","$9,538 ","$21,256 ","$5,641 ","$3,201 ",N/A,"$1,771.33 ",$470.08 ,$266.75 
Wyoming,"$7,463 ","$13,805 ","$21,984 ","$4,927 ","$3,149 ",N/A,"$1,832.00 ",$410.58 ,$262.42 
,,,,,,,,,
Notes,,,,,,,,,
"Due to data security measures, the values of cells reflecting spending for fewer than 50 enrollees are not reported nor included in the final totals (reported as NSD, or Not Significant Data). Estimates here may not match other sources due to enrollment categorization differences.",,,,,,,,,
,,,,,,,,,
Florida and Texas report enrollment in Newly Eligible Adult group even though they had not expanded Medicaid coverage in CY 2019.,,,,,,,,,
,,,,,,,,,
Sources,,,,,,,,,
KFF estimates based on analysis of data from the Preliminary CY 2019 Transformed Medicaid Statistical Information System (T-MSIS).,,,,,,,,,
,,,,,,,,,
Definitions,,,,,,,,,
*Enrollees*: Individuals who are enrolled in Medicaid at any time during the calendar year.,,,,,,,,,
,,,,,,,,,
*Seniors*: Includes all people age 65 and older.,,,,,,,,,
,,,,,,,,,
*Individuals with Disabilities*: Includes people under age 65 who are reported as eligible due to a disability.,,,,,,,,,
,,,,,,,,,
*Adults*: Generally people age 19 to 64. Adults includes a small number of people who are eligible through the Breast and Cervical Cancer Prevention and Treatment Act of 2000.,,,,,,,,,
,,,,,,,,,
"*Children*: Generally people age 18 and younger. However, some people age 19 and older may be classified as ""children"" depending on why they qualify for the program and each state's practices.",,,,,,,,,
,,,,,,,,,
*Newly Eligible Adult*: Adults in the expansion group who were made newly eligible for Medicaid by the ACA Medicaid expansion.,,,,,,,,,
,,,,,,,,,
*N/A*: Data not available.,,,,,,,,,
